sample_id,dataset_source,split_hint,mixed_wav_path,source_track_1_path,source_track_2_path,deployable_map_path,analysis_teacher_map_path,reference_type,overlap_ratio,dominance_type,target_family,oracle_route,route_gap,mixed_cer,separated_cer,cleaned_cer,mixed_regret,separated_regret,cleaned_regret,review_needed,source_utterance_ids,counterfactual_family_id,target_task,target_path,target_quality,target_scope,student_input_policy,logmel_mean,logmel_std,logmel_p90,overlap_proxy_mean,overlap_proxy_std,overlap_proxy_p90,uncertainty_proxy_mean,uncertainty_proxy_std,uncertainty_proxy_p90,overlap_uncertainty_product
controlled_route_sensitive_v2_0036,controlled_route_sensitive_v2_real_whisper,dev,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0036_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0036_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0036_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0036.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0036.npy,silver_plus_unverified,0.3,speaker_B_dominant,review_needed_anchor,mixed,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True,con_003|pro_013,controlled_route_sensitive_v2_candidate_0036,UNCERTAINTY_MAP,resources/generative_audiodepth_targets/uncertainty_map/controlled_route_sensitive_v2_0036.npy,weak_uncertainty_target,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.452278,0.142683,0.643137,0.554887,0.199957,0.796078,0.479688,0.174035,0.713726,0.257945
controlled_route_sensitive_v2_0036,controlled_route_sensitive_v2_real_whisper,dev,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0036_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0036_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0036_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0036.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0036.npy,silver_plus_unverified,0.3,speaker_B_dominant,review_needed_anchor,mixed,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True,con_003|pro_013,controlled_route_sensitive_v2_candidate_0036,ROUTE_REGRET,resources/generative_audiodepth_targets/route_regret/controlled_route_sensitive_v2_0036.npy,real_whisper_sample_level_regret,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.452278,0.142683,0.643137,0.554887,0.199957,0.796078,0.479688,0.174035,0.713726,0.257945
controlled_route_sensitive_v2_0036,controlled_route_sensitive_v2_real_whisper,dev,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0036_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0036_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0036_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0036.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0036.npy,silver_plus_unverified,0.3,speaker_B_dominant,review_needed_anchor,mixed,0.0,1.0,1.0,1.0,0.0,0.0,0.0,True,con_003|pro_013,controlled_route_sensitive_v2_candidate_0036,REVIEW_RISK,resources/generative_audiodepth_targets/review_risk/controlled_route_sensitive_v2_0036.npy,stage2_review_guard_heuristic,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.452278,0.142683,0.643137,0.554887,0.199957,0.796078,0.479688,0.174035,0.713726,0.257945
controlled_route_sensitive_v2_0041,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0041.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0041.npy,silver_plus_unverified,0.1,speaker_B_dominant,mixed_win_anchor,mixed,0.862069,0.137931,1.0,1.0,0.0,0.862069,0.862069,False,con_008|pro_009,controlled_route_sensitive_v2_candidate_0041,OVERLAP_MAP,resources/generative_audiodepth_targets/overlap_map/controlled_route_sensitive_v2_0041.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.120872,0.173134,0.32549,0.347917,0.238029,0.764706,0.402604,0.243946,0.745098,0.138493
controlled_route_sensitive_v2_0041,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0041.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0041.npy,silver_plus_unverified,0.1,speaker_B_dominant,mixed_win_anchor,mixed,0.862069,0.137931,1.0,1.0,0.0,0.862069,0.862069,False,con_008|pro_009,controlled_route_sensitive_v2_candidate_0041,DOMINANCE_MAP,resources/generative_audiodepth_targets/dominance_map/controlled_route_sensitive_v2_0041.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.120872,0.173134,0.32549,0.347917,0.238029,0.764706,0.402604,0.243946,0.745098,0.138493
controlled_route_sensitive_v2_0041,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0041.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0041.npy,silver_plus_unverified,0.1,speaker_B_dominant,mixed_win_anchor,mixed,0.862069,0.137931,1.0,1.0,0.0,0.862069,0.862069,False,con_008|pro_009,controlled_route_sensitive_v2_candidate_0041,UNCERTAINTY_MAP,resources/generative_audiodepth_targets/uncertainty_map/controlled_route_sensitive_v2_0041.npy,weak_uncertainty_target,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.120872,0.173134,0.32549,0.347917,0.238029,0.764706,0.402604,0.243946,0.745098,0.138493
controlled_route_sensitive_v2_0041,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0041.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0041.npy,silver_plus_unverified,0.1,speaker_B_dominant,mixed_win_anchor,mixed,0.862069,0.137931,1.0,1.0,0.0,0.862069,0.862069,False,con_008|pro_009,controlled_route_sensitive_v2_candidate_0041,ROUTE_REGRET,resources/generative_audiodepth_targets/route_regret/controlled_route_sensitive_v2_0041.npy,real_whisper_sample_level_regret,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.120872,0.173134,0.32549,0.347917,0.238029,0.764706,0.402604,0.243946,0.745098,0.138493
controlled_route_sensitive_v2_0041,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0041_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0041.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0041.npy,silver_plus_unverified,0.1,speaker_B_dominant,mixed_win_anchor,mixed,0.862069,0.137931,1.0,1.0,0.0,0.862069,0.862069,False,con_008|pro_009,controlled_route_sensitive_v2_candidate_0041,REVIEW_RISK,resources/generative_audiodepth_targets/review_risk/controlled_route_sensitive_v2_0041.npy,stage2_review_guard_heuristic,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.120872,0.173134,0.32549,0.347917,0.238029,0.764706,0.402604,0.243946,0.745098,0.138493
controlled_route_sensitive_v2_0047,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0047.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0047.npy,silver_plus_unverified,0.55,balanced,cleaned_win_anchor,separated,0.0,0.73913,0.304348,0.304348,0.434782,0.0,0.0,True,con_003|pro_011,controlled_route_sensitive_v2_candidate_0047,OVERLAP_MAP,resources/generative_audiodepth_targets/overlap_map/controlled_route_sensitive_v2_0047.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.214691,0.152647,0.380392,0.616544,0.291872,0.945098,0.42811,0.232383,0.741176,0.221254
controlled_route_sensitive_v2_0047,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0047.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0047.npy,silver_plus_unverified,0.55,balanced,cleaned_win_anchor,separated,0.0,0.73913,0.304348,0.304348,0.434782,0.0,0.0,True,con_003|pro_011,controlled_route_sensitive_v2_candidate_0047,DOMINANCE_MAP,resources/generative_audiodepth_targets/dominance_map/controlled_route_sensitive_v2_0047.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.214691,0.152647,0.380392,0.616544,0.291872,0.945098,0.42811,0.232383,0.741176,0.221254
controlled_route_sensitive_v2_0047,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0047.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0047.npy,silver_plus_unverified,0.55,balanced,cleaned_win_anchor,separated,0.0,0.73913,0.304348,0.304348,0.434782,0.0,0.0,True,con_003|pro_011,controlled_route_sensitive_v2_candidate_0047,UNCERTAINTY_MAP,resources/generative_audiodepth_targets/uncertainty_map/controlled_route_sensitive_v2_0047.npy,weak_uncertainty_target,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.214691,0.152647,0.380392,0.616544,0.291872,0.945098,0.42811,0.232383,0.741176,0.221254
controlled_route_sensitive_v2_0047,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0047.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0047.npy,silver_plus_unverified,0.55,balanced,cleaned_win_anchor,separated,0.0,0.73913,0.304348,0.304348,0.434782,0.0,0.0,True,con_003|pro_011,controlled_route_sensitive_v2_candidate_0047,ROUTE_REGRET,resources/generative_audiodepth_targets/route_regret/controlled_route_sensitive_v2_0047.npy,real_whisper_sample_level_regret,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.214691,0.152647,0.380392,0.616544,0.291872,0.945098,0.42811,0.232383,0.741176,0.221254
controlled_route_sensitive_v2_0047,controlled_route_sensitive_v2_real_whisper,train,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0047_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0047.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0047.npy,silver_plus_unverified,0.55,balanced,cleaned_win_anchor,separated,0.0,0.73913,0.304348,0.304348,0.434782,0.0,0.0,True,con_003|pro_011,controlled_route_sensitive_v2_candidate_0047,REVIEW_RISK,resources/generative_audiodepth_targets/review_risk/controlled_route_sensitive_v2_0047.npy,stage2_review_guard_heuristic,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.214691,0.152647,0.380392,0.616544,0.291872,0.945098,0.42811,0.232383,0.741176,0.221254
controlled_route_sensitive_v2_0058,controlled_route_sensitive_v2_real_whisper,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0058.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0058.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,1.0,0.333333,0.333333,0.666667,0.0,0.0,True,con_003|pro_010,controlled_route_sensitive_v2_candidate_0058,OVERLAP_MAP,resources/generative_audiodepth_targets/overlap_map/controlled_route_sensitive_v2_0058.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.40433,0.143759,0.592157,0.763343,0.205179,0.933333,0.481495,0.187953,0.737255,0.348067
controlled_route_sensitive_v2_0058,controlled_route_sensitive_v2_real_whisper,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0058.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0058.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,1.0,0.333333,0.333333,0.666667,0.0,0.0,True,con_003|pro_010,controlled_route_sensitive_v2_candidate_0058,DOMINANCE_MAP,resources/generative_audiodepth_targets/dominance_map/controlled_route_sensitive_v2_0058.npy,oracle_source_activity,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.40433,0.143759,0.592157,0.763343,0.205179,0.933333,0.481495,0.187953,0.737255,0.348067
controlled_route_sensitive_v2_0058,controlled_route_sensitive_v2_real_whisper,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0058.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0058.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,1.0,0.333333,0.333333,0.666667,0.0,0.0,True,con_003|pro_010,controlled_route_sensitive_v2_candidate_0058,UNCERTAINTY_MAP,resources/generative_audiodepth_targets/uncertainty_map/controlled_route_sensitive_v2_0058.npy,weak_uncertainty_target,time_frequency_map,mixed_audio_or_mixed_logmel_only,0.40433,0.143759,0.592157,0.763343,0.205179,0.933333,0.481495,0.187953,0.737255,0.348067
controlled_route_sensitive_v2_0058,controlled_route_sensitive_v2_real_whisper,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0058.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0058.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,1.0,0.333333,0.333333,0.666667,0.0,0.0,True,con_003|pro_010,controlled_route_sensitive_v2_candidate_0058,ROUTE_REGRET,resources/generative_audiodepth_targets/route_regret/controlled_route_sensitive_v2_0058.npy,real_whisper_sample_level_regret,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.40433,0.143759,0.592157,0.763343,0.205179,0.933333,0.481495,0.187953,0.737255,0.348067
controlled_route_sensitive_v2_0058,controlled_route_sensitive_v2_real_whisper,test,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0058_spk2.wav,resources/audiodepth_v2_maps/controlled_v2/controlled_route_sensitive_v2_0058.npy,resources/audio_depth_v2_maps/controlled_route_sensitive_v2_0058.npy,silver_plus_unverified,0.75,speaker_B_dominant,separated_win_anchor,separated,0.0,1.0,0.333333,0.333333,0.666667,0.0,0.0,True,con_003|pro_010,controlled_route_sensitive_v2_candidate_0058,REVIEW_RISK,resources/generative_audiodepth_targets/review_risk/controlled_route_sensitive_v2_0058.npy,stage2_review_guard_heuristic,sample_level_vector,mixed_audio_or_mixed_logmel_only,0.40433,0.143759,0.592157,0.763343,0.205179,0.933333,0.481495,0.187953,0.737255,0.348067
